,coord,country,id,name
2714,"{'lon': 6.92156, 'lat': 50.91819}",DE,2824860,Sülz
160028,"{'lon': -2.1206, 'lat': 51.86264}",GB,2637878,Shurdington
65563,"{'lon': 9.39065, 'lat': 48.399799}",DE,2919147,Gomadingen
150813,"{'lon': 6.85, 'lat': 47.5}",FR,6430004,Taillecourt
204121,"{'lon': -73.563179, 'lat': 40.691212}",US,5129141,North Merrick
57989,"{'lon': -61.381828, 'lat': 46.066841}",CA,6062534,Mabou
116736,"{'lon': -80.579514, 'lat': 35.408749}",US,4461574,Concord
96186,"{'lon': 3.01667, 'lat': 36.76667}",DZ,2505015,Ben ’Aknoûn
79242,"{'lon': 8.18333, 'lat': 53.099998}",DE,2897495,Hundsmühlen
74700,"{'lon': 8.04611, 'lat': 49.718102}",DE,6554861,Mauchenheim
43754,"{'lon': 81.133331, 'lat': 16.16667}",IN,1264637,Machilipatnam
6575,"{'lon': 80.150002, 'lat': 28.51667}",IN,1259190,Puranpur
98254,"{'lon': 28.117451, 'lat': 50.05204}",UA,710381,Chudniv
88599,"{'lon': -7.85306, 'lat': 52.08889}",IE,2961010,Villierstown
130058,"{'lon': 122.913177, 'lat': 40.993778}",CN,2055173,Datun
24347,"{'lon': 39.71389, 'lat': 47.236389}",RU,501175,Rostov-na-Donu
34256,"{'lon': 39.728802, 'lat': 52.046619}",RU,478317,Usman
106807,"{'lon': 31.808889, 'lat': -1.27583}",TZ,151240,Nyakato
204979,"{'lon': -79.892273, 'lat': 40.324791}",US,5191236,Glassport
102472,"{'lon': 21.533331, 'lat': 56.26667}",LT,594488,Skuodas
104575,"{'lon': -89.18, 'lat': 13.61278}",SV,3584156,Panchimalco
127631,"{'lon': 102.911293, 'lat': 24.676519}",CN,1811281,Fenglu
135498,"{'lon': 7.18333, 'lat': 49.900002}",DE,2888707,Kleinich
203756,"{'lon': -75.888802, 'lat': 43.071178}",US,5109703,Bolivar
187624,"{'lon': 21.228161, 'lat': 49.75621}",PL,775917,Binarowa
26147,"{'lon': -73.84919, 'lat': 45.950081}",CA,6137543,Saint-Calixte
207140,"{'lon': -124.201752, 'lat': 41.755951}",US,5562087,Crescent City
197419,"{'lon': -84.472717, 'lat': 39.112839}",US,4289629,Dayton
196195,"{'lon': -81.899246, 'lat': 26.53813}",US,4152639,Cypress Lake
103888,"{'lon': -76.040039, 'lat': 4.91345}",CO,3685027,El Aguila
141099,"{'lon': -5.39417, 'lat': 39.3815}",ES,6356741,Cañamero
22783,"{'lon': 41.516666, 'lat': 54.916668}",RU,550778,Khalymovo
103704,"{'lon': -75.606262, 'lat': 5.74867}",CO,3678118,La Pintada
3877,"{'lon': 11.20111, 'lat': 49.46944}",DE,2835421,Schwaig
